locationjob,location,job,gd_location,gd_job,ps_location,ps_job,indeed_location,indeed_location.1,gd_salary,ps_salary,indeed_salary,gd_date,ps_date,indeed_date,gd_two_date,ps_two_date,indeed_two_date,avg_salary
omaha nebraskaprincipal engineer manager,omaha nebraska,principal engineer manager,omaha nebraska,principal engineer manager,omaha nebraska,principal engineer manager,,,134282,115000,,,,,,,,124641
durham north carolinasenior engineering manager,durham north carolina,senior engineering manager,durham north carolina,senior engineering manager,durham north carolina,senior engineering manager,durham north carolina,senior engineering manager,144860,124800,104229,,,,,,,124629.6667
sioux falls south dakotasenior software engineer,sioux falls south dakota,senior software engineer,sioux falls south dakota,senior software engineer,sioux falls south dakota,senior software engineer,sioux falls south dakota,senior software engineer,154796,107025,112056,,,,,,,124625.6667
connecticutsoftware developer,connecticut,software developer,connecticut,software developer,,,connecticut,software developer,118607,,130630,,,,,,,124618.5
richmond virginiasoftware engineer in test,richmond virginia,software engineer in test,richmond virginia,software engineer in test,richmond virginia,software engineer in test,,,152069,97135,,,,,,,,124602
virginia beach virginiaprincipal software engineer,virginia beach virginia,principal software engineer,virginia beach virginia,principal software engineer,virginia beach virginia,principal software engineer,virginia beach virginia,principal software engineer,122994,114500,136310,,,,,,,124601.3333
rhode islanddata engineer,rhode island,data engineer,rhode island,data engineer,,,rhode island,data engineer,134390,,114809,,,,,,,124599.5
kansas city kansaschief technology officer,kansas city kansas,chief technology officer,kansas city kansas,chief technology officer,,,kansas city kansas,chief technology officer,189096,,60050,,,25-May-23,,,,124573
sioux falls south dakotaprincipal engineer manager,sioux falls south dakota,principal engineer manager,sioux falls south dakota,principal engineer manager,,,,,155813,105000,112874,,,,,,,124562.3333
ann arbor michigansite reliability engineer,ann arbor michigan,site reliability engineer,ann arbor michigan,site reliability engineer,,,ann arbor michigan,site reliability engineer,122775,,126345,,,,,,,124560
arizonasoftware architect,arizona,software architect,arizona,software architect,,,arizona,software architect,122503,,126600,,,1-May-23,,,With two date,124551.5
puerto ricodirector of engineering,puerto rico,director of engineering,puerto rico,director of engineering,puerto rico,director of engineering,puerto rico,director of engineering,167130,122449,84073,,10-Nov-20,27-Feb-23,,With two date,With two date,124550.6667
austin texassoftware engineer intern,austin texas,software engineer intern,austin texas,software engineer intern,,,austin texas,software engineer intern,100359,,148740,,,,,,,124549.5
san francisco californiasenior data analyst,san francisco california,senior data analyst,san francisco california,senior data analyst,san francisco california,senior data analyst,san francisco california,senior data analyst,131473,118844,123234,,,,,,,124517
kansas city kansasprincipal .net developer,kansas city kansas,principal .net developer,kansas city kansas,principal .net developer,,,,,116313,81308,175921,,,,,,,124514
nebraskatechnical lead,nebraska,technical lead,nebraska,technical lead,,,nebraska,technical lead,147629,,101355,,,,,,,124492
ohiosenior software engineer,ohio,senior software engineer,ohio,senior software engineer,,,ohio,senior software engineer,122159,,126819,,,27-May-23,,,With two date,124489
sioux falls south dakotadirector of engineering,sioux falls south dakota,director of engineering,sioux falls south dakota,director of engineering,sioux falls south dakota,director of engineering,sioux falls south dakota,director of engineering,166320,113445,93666,,,,,,,124477
alexandria virginiaengineer manager,alexandria virginia,engineer manager,alexandria virginia,engineer manager,alexandria virginia,engineer manager,alexandria virginia,engineer manager,119655,138000,115759,,,,,,,124471.3333
montanachief operating officer,montana,chief operating officer,montana,chief operating officer,,,montana,chief operating officer,162393,,86533,,,,,,,124463
san diego californiacloud engineer,san diego california,cloud engineer,san diego california,cloud engineer,,,san diego california,cloud engineer,125702,,123213,,,12-Jun-23,,,,124457.5
chandler arizonamobile developer,chandler arizona,mobile developer,chandler arizona,mobile developer,,,chandler arizona,mobile developer,98630,,150267,,,,,,,124448.5
milwaukee wisconsinfullstack developer,milwaukee wisconsin,fullstack developer,milwaukee wisconsin,fullstack developer,,,milwaukee wisconsin,fullstack developer,114726,,134126,,,25-Apr-23,,,,124426
bellevue washingtonsenior web developer,bellevue washington,senior web developer,bellevue washington,senior web developer,bellevue washington,senior web developer,,,132310,116500,,,,,,,,124405
eugene oregonsenior software engineer,eugene oregon,senior software engineer,eugene oregon,senior software engineer,eugene oregon,senior software engineer,,,153605,95193,,,,,,,,124399
scottsdale arizonajunior director of engineering,scottsdale arizona,junior director of engineering,scottsdale arizona,junior director of engineering,,,scottsdale arizona,junior director of engineering,153059,,95734,,,,,,,124396.5
jersey city new jerseysenior java developer,jersey city new jersey,senior java developer,jersey city new jersey,senior java developer,jersey city new jersey,senior java developer,jersey city new jersey,senior java developer,127004,109927,136203,,24-Sep-17,,,,,124378
san diego californiasenior java developer,san diego california,senior java developer,san diego california,senior java developer,,,san diego california,senior java developer,128646,,120102,,,,,,,124374
chicago illinoissenior ios developer,chicago illinois,senior ios developer,chicago illinois,senior ios developer,,,chicago illinois,senior ios developer,127928,,120763,15-Sep-22,,,,,,124345.5
illinoissoftware engineer,illinois,software engineer,illinois,software engineer,,,illinois,software engineer,128375,,120297,,,,,,,124336
lexington kentuckycyber security engineer,lexington kentucky,cyber security engineer,lexington kentucky,cyber security engineer,,,lexington kentucky,cyber security engineer,98605,,150066,,,,,,,124335.5
arizonasolutions architect,arizona,solutions architect,arizona,solutions architect,,,arizona,solutions architect,117961,,130625,,,6-Feb-23,,,With two date,124293
santa clara californiajunior director of engineering,santa clara california,junior director of engineering,santa clara california,junior director of engineering,,,santa clara california,junior director of engineering,134053,,114503,,,,,,,124278
rochester new yorksoftware architect,rochester new york,software architect,rochester new york,software architect,rochester new york,software architect,rochester new york,software architect,136279,116997,119551,,,,,,,124275.6667
los angeles californiasenior system engineer,los angeles california,senior system engineer,los angeles california,senior system engineer,los angeles california,senior system engineer,los angeles california,senior system engineer,112922,118000,141864,,,27-Apr-23,,,,124262
knoxville tennesseesoftware engineering manager,knoxville tennessee,software engineering manager,knoxville tennessee,software engineering manager,knoxville tennessee,software engineering manager,knoxville tennessee,software engineering manager,155252,130809,86621,,,,,,,124227.3333
baltimore marylandsite reliability engineer,baltimore maryland,site reliability engineer,baltimore maryland,site reliability engineer,baltimore maryland,site reliability engineer,baltimore maryland,site reliability engineer,129728,130000,112943,,,,,,,124223.6667
connecticutjunior director of engineering,connecticut,junior director of engineering,connecticut,junior director of engineering,,,connecticut,junior director of engineering,140485,,107950,,,13-Jun-23,,,With two date,124217.5
portland oregonsolutions architect,portland oregon,solutions architect,portland oregon,solutions architect,portland oregon,solutions architect,portland oregon,solutions architect,129518,131971,111145,,,11-Jun-23,,,,124211.3333
irvine californiasenior systems engineer,irvine california,senior systems engineer,irvine california,senior systems engineer,irvine california,senior systems engineer,irvine california,senior systems engineer,109851,,138556,,,9-Apr-23,,,With two date,124203.5
massachusettssoftware developer,massachusetts,software developer,massachusetts,software developer,,,massachusetts,software developer,116057,,132319,,,6-Jun-23,,,,124188
colorado springs coloradocyber security engineer,colorado springs colorado,cyber security engineer,colorado springs colorado,cyber security engineer,colorado springs colorado,cyber security engineer,,,142365,106000,,,,,,,,124182.5
