locationjob,location,job,gd_location,gd_job,ps_location,ps_job,indeed_location,indeed_location.1,gd_salary,ps_salary,indeed_salary,gd_date,ps_date,indeed_date,gd_two_date,ps_two_date,indeed_two_date,avg_salary
indianachief technology officer,indiana,chief technology officer,indiana,chief technology officer,,,indiana,chief technology officer,260831,,188698,,,26-May-23,,,,224764.5
huntsville alabamasenior engineer,huntsville alabama,senior engineer,huntsville alabama,senior engineer,huntsville alabama,senior engineer,huntsville alabama,senior engineer,180824,222042,271000,,,2-Mar-21,,,With two date,224622
minneapolis minnesotasenior engineer,minneapolis minnesota,senior engineer,minneapolis minnesota,senior engineer,minneapolis minnesota,senior engineer,minneapolis minnesota,senior engineer,239489,237500,196100,,,26-Apr-23,,,,224363
charlotte north carolinachief technology officer,charlotte north carolina,chief technology officer,charlotte north carolina,chief technology officer,charlotte north carolina,chief technology officer,charlotte north carolina,chief technology officer,310395,178656,183637,,,16-Feb-23,,,,224229.3333
minneapolis minnesotachief operating officer,minneapolis minnesota,chief operating officer,minneapolis minnesota,chief operating officer,minneapolis minnesota,chief operating officer,minneapolis minnesota,chief operating officer,210447,255000,206964,,,,,,,224137
hartford connecticutchief operating officer,hartford connecticut,chief operating officer,hartford connecticut,chief operating officer,hartford connecticut,chief operating officer,hartford connecticut,chief operating officer,196659,325000,149917,,,,,,,223858.6667
new jerseychief operating officer,new jersey,chief operating officer,new jersey,chief operating officer,,,new jersey,chief operating officer,222403,,224944,,,19-Apr-23,,,,223673.5
hawaiidirector of engineering,hawaii,director of engineering,hawaii,director of engineering,,,hawaii,director of engineering,207300,,238365,,,22-Mar-23,,,,222832.5
el paso texasdirector of engineering,el paso texas,director of engineering,el paso texas,director of engineering,,,el paso texas,director of engineering,175213,,270059,,,23-Sep-22,,,,222636
californiasenior vice president of engineering,california,senior vice president of engineering,california,senior vice president of engineering,,,california,senior vice president of engineering,231087,,213802,,,9-Jun-23,,,,222444.5
virginiasenior director of engineering,virginia,senior director of engineering,virginia,senior director of engineering,,,virginia,senior director of engineering,159489,,285171,,,,,,,222330
jacksonville floridachief operating officer,jacksonville florida,chief operating officer,jacksonville florida,chief operating officer,jacksonville florida,chief operating officer,jacksonville florida,chief operating officer,200435,216421,249615,,,22-Aug-22,,,,222157
calgary absenior vice president of engineering,calgary ab,senior vice president of engineering,calgary ab,senior vice president of engineering,,,calgary ab,senior vice president of engineering,206923,,237172,,,31-Aug-21,,,,222047.5
chicago illinoisvice president of engineering,chicago illinois,vice president of engineering,chicago illinois,vice president of engineering,chicago illinois,vice president of engineering,chicago illinois,vice president of engineering,234327,220336,211464,,,8-Nov-22,,,With two date,222042.3333
sunnyvale californiadirector of information technology,sunnyvale california,director of information technology,sunnyvale california,director of information technology,sunnyvale california,director of information technology,sunnyvale california,director of information technology,152747,187500,325700,,,,,,,221982.3333
oregonchief technology officer,oregon,chief technology officer,oregon,chief technology officer,,,oregon,chief technology officer,252335,,191037,,,2-May-23,,,,221686
californiasenior director of engineering,california,senior director of engineering,california,senior director of engineering,,,california,senior director of engineering,190272,,252844,,,10-May-23,,,With two date,221558
cambridge massachusettsvice president of engineering,cambridge massachusetts,vice president of engineering,cambridge massachusetts,vice president of engineering,cambridge massachusetts,vice president of engineering,cambridge massachusetts,vice president of engineering,201783,243116,219766,,,12-Apr-23,,,With two date,221555
redwood city californiachief technology officer,redwood city california,chief technology officer,redwood city california,chief technology officer,redwood city california,chief technology officer,redwood city california,chief technology officer,234537,225421,204197,,,5-Jun-23,,,,221385
vancouver bcchief operating officer,vancouver bc,chief operating officer,vancouver bc,chief operating officer,,,vancouver bc,chief operating officer,223519,,216838,,,,,,,220178.5
raleigh-durham north carolinasenior engineer,raleigh-durham north carolina,senior engineer,raleigh-durham north carolina,senior engineer,raleigh-durham north carolina,senior engineer,,,240164,200000,,,,,,,,220082
chandler arizonavice president of engineering,chandler arizona,vice president of engineering,chandler arizona,vice president of engineering,chandler arizona,vice president of engineering,chandler arizona,vice president of engineering,215660,232500,211264,,,,,,,219808
des moines iowavice president of engineering,des moines iowa,vice president of engineering,des moines iowa,vice president of engineering,des moines iowa,vice president of engineering,des moines iowa,vice president of engineering,327210,190000,142111,,,7-Apr-23,,,,219773.6667
seattle washingtonsenior engineer,seattle washington,senior engineer,seattle washington,senior engineer,seattle washington,senior engineer,seattle washington,senior engineer,250692,181854,226320,,,,,,,219622
