locationjob,date,location,job,salary,two_date
hazelwood missourisenior system engineer,,hazelwood missouri,senior system engineer,"125,432",
michigantechnical lead,25-Apr-23,michigan,technical lead,"125,424",
parksville bcdirector of information technology,,parksville bc,director of information technology,"125,412",
richmond virginiasoftware architect,12-Jun-23,richmond virginia,software architect,"125,410",
tampa floridachief operating officer,,tampa florida,chief operating officer,"125,408",
new hampshiresite reliability engineer,,new hampshire,site reliability engineer,"125,407",
largo floridasenior engineering manager,,largo florida,senior engineering manager,"125,406",
cincinnati ohiosoftware architect,24-May-23,cincinnati ohio,software architect,"125,403",
oakland californiaprincipal engineer manager,,oakland california,principal engineer manager,"125,402",
buena park californiasenior system engineer,,buena park california,senior system engineer,"125,400",
centennial coloradosenior java developer,,centennial colorado,senior java developer,"125,397",
memphis tennesseedata engineer,27-May-23,memphis tennessee,data engineer,"125,395",
new south walessenior application developer,,new south wales,senior application developer,"125,380",
atlanta georgiasystems administrator,,atlanta georgia,systems administrator,"125,371",
washington district of columbiadata scientist,12-May-23,washington district of columbia,data scientist,"125,364",
kansasmachine learning engineer,,kansas,machine learning engineer,"125,357",
phoenix arizonasenior software engineer,13-Jun-23,phoenix arizona,senior software engineer,"125,354",
wisconsinprincipal senior web developer,,wisconsin,principal senior web developer,"125,349",
brea californiasenior software developer,2-Feb-23,brea california,senior software developer,"125,342",
san mateo californiajava developer,,san mateo california,java developer,"125,339",
kansas city missourimobile developer,,kansas city missouri,mobile developer,"125,329",
memphis tennesseecloud engineer,15-Apr-23,memphis tennessee,cloud engineer,"125,326",
washington district of columbiaproduct owner,19-Feb-23,washington district of columbia,product owner,"125,325",With two date
lone tree coloradosoftware architect,,lone tree colorado,software architect,"125,324",
washingtonsenior security engineer,,washington,senior security engineer,"125,316",
des moines iowachief technology officer,,des moines iowa,chief technology officer,"125,314",
winona minnesotaprincipal cloud engineer,29-Jun-22,winona minnesota,principal cloud engineer,"125,306",
cambridge massachusettsuser experience designer,,cambridge massachusetts,user experience designer,"125,305",
tucson arizonachief technology officer,19-May-23,tucson arizona,chief technology officer,"125,300",With two date
sydney nsw.net developer,,sydney nsw,.net developer,"125,300",
ann arbor michigansoftware engineering manager,,ann arbor michigan,software engineering manager,"125,280",
akron ohioprincipal software engineer,25-May-23,akron ohio,principal software engineer,"125,272",
burnaby bcsoftware manager,,burnaby bc,software manager,"125,270",
long island new yorkdata analyst,4-Jan-23,long island new york,data analyst,"125,265",
maryland heights missourisoftware architect,,maryland heights missouri,software architect,"125,263",
puerto ricofamily medicine physician,1-Feb-23,puerto rico,family medicine physician,"125,254",
morrisville north carolinasenior data scientist,,morrisville north carolina,senior data scientist,"125,252",
richmond virginiasenior system engineer,,richmond virginia,senior system engineer,"125,251",
portland oregoncloud engineer,,portland oregon,cloud engineer,"125,250",
newtown pennsylvaniasenior system engineer,,newtown pennsylvania,senior system engineer,"125,244",
brea californiasenior engineer,,brea california,senior engineer,"125,243",
brownsville tennesseedirector of engineering,,brownsville tennessee,director of engineering,"125,238",
north york ontariodevelopment operations engineer,,north york ontario,development operations engineer,"125,237",
san antonio texassenior software engineer,24-May-23,san antonio texas,senior software engineer,"125,232",With two date
alpharetta georgiamachine learning engineer,,alpharetta georgia,machine learning engineer,"125,230",
ontario californiabrand strategy consultant,20-Feb-23,ontario california,brand strategy consultant,"125,217",
buffalo new yorkfamily medicine physician,,buffalo new york,family medicine physician,"125,215",
kentuckysoftware architect,,kentucky,software architect,"125,204",
cambridge massachusettstechnical lead,,cambridge massachusetts,technical lead,"125,203",
indianapolis indianasoftware architect,28-Apr-23,indianapolis indiana,software architect,"125,202",
chicago illinoisapplication developer,,chicago illinois,application developer,"125,198",
ashburn virginiabusiness intelligence developer,,ashburn virginia,business intelligence developer,"125,197",
british columbiatreasurer,,british columbia,treasurer,"125,195",
los angeles californiaproduct designer,26-May-23,los angeles california,product designer,"125,193",
aurora coloradosoftware developer,,aurora colorado,software developer,"125,175",
californiaprofessor,14-Jun-23,california,professor,"125,170",
littleton coloradosolutions architect,,littleton colorado,solutions architect,"125,159",
